level,ratio_omni,ratio_zstd,comp_omni_mb_s,comp_zstd_mb_s,decomp_omni_mb_s,decomp_zstd_mb_s,ratio_delta_pct_omni_vs_zstd,decomp_delta_pct_omni_vs_zstd
1,2.864618,2.894803,651.883291,801.589987,1722.786954,1925.553548,-1.042731,-10.530301
2,3.009084,3.057556,549.730950,660.640342,1442.038058,1763.944925,-1.585334,-18.249258
3,3.118062,3.205269,479.432331,515.103751,1822.955152,1729.775544,-2.720735,5.386803
4,3.236321,3.263434,391.959779,464.206669,1958.683450,1718.000976,-0.830812,14.009449
5,3.352294,3.377920,239.429904,253.411581,1796.012964,1710.080338,-0.758641,5.025064
6,3.432397,3.461300,174.406247,179.905920,1989.991601,1737.429451,-0.835038,14.536541
7,3.484561,3.517621,151.255835,157.342894,2021.005927,1866.077561,-0.939832,8.302354
8,3.514656,3.550063,120.461474,121.522056,2101.426649,1813.712794,-0.997374,15.863253
9,3.540744,3.587691,119.033339,119.684086,2000.014491,1905.587827,-1.308584,4.955251
10,3.577691,3.630255,88.336719,90.308973,2127.830272,1969.193294,-1.447943,8.055937
11,3.600767,3.656194,66.444857,66.090291,2188.958277,1569.725812,-1.515970,39.448448
12,3.603232,3.659715,62.340396,61.207661,2210.670224,2010.119683,-1.543350,9.977045
13,3.619011,3.673998,26.828275,26.362537,2214.531495,1701.244392,-1.496661,30.171274
14,3.641718,3.700205,21.494435,21.038825,2146.226886,1697.828937,-1.580646,26.410078
15,3.658581,3.726613,16.503920,14.693654,2003.200043,1840.367039,-1.825560,8.847855
16,3.788563,3.834952,11.782781,11.266825,1786.718575,1715.639169,-1.209642,4.143028
17,3.844876,3.909245,9.340005,8.151283,2020.624551,1538.220514,-1.646563,31.361176
18,3.905732,3.976810,7.195628,6.421198,1463.839569,1325.866419,-1.787304,10.406263
19,3.924871,4.010419,6.142399,5.156670,1744.131749,1432.198881,-2.133123,21.779997
20,3.924871,4.042928,5.711093,4.619503,1702.722960,1431.316516,-2.920069,18.962014
21,3.925490,4.051710,5.392697,4.039061,1528.305053,1397.313711,-3.115234,9.374512
22,3.926629,4.053544,4.945643,3.478821,1486.575057,1355.887374,-3.130951,9.638535
