level,ratio_omni,ratio_zstd,comp_omni_mb_s,comp_zstd_mb_s,decomp_omni_mb_s,decomp_zstd_mb_s,ratio_delta_pct_omni_vs_zstd,decomp_delta_pct_omni_vs_zstd
1,2.972715,3.004040,533.794917,811.662574,1736.949098,1866.703910,-1.042779,-6.951012
2,3.122631,3.172933,331.554476,644.001054,1520.341796,1782.105223,-1.585378,-14.688438
3,3.235719,3.326219,443.649499,480.693839,1732.458618,1743.737088,-2.720782,-0.646799
4,3.358440,3.386578,360.679695,471.924856,1860.370993,1747.001255,-0.830882,6.489391
5,3.478787,3.505378,225.214938,243.909563,1973.190070,1724.531821,-0.758584,14.418884
6,3.561915,3.591909,169.485803,173.340743,2075.450406,1852.830009,-0.835052,12.015155
7,3.616047,3.650354,155.430169,158.788669,2121.343432,1503.462275,-0.939844,41.097217
8,3.647276,3.684021,120.729767,121.048422,2174.463809,1938.130905,-0.997416,12.193857
9,3.674348,3.723069,115.547070,115.789686,2139.677010,1903.835629,-1.308614,12.387697
10,3.712690,3.767239,82.825023,89.372465,1201.050023,1956.633958,-1.447972,-38.616520
11,3.736636,3.794156,58.988426,61.439221,2066.526550,1808.808854,-1.516015,14.247923
12,3.739194,3.797809,59.419637,58.231535,2105.113883,2020.525000,-1.543392,4.186480
13,3.755568,3.812632,25.274662,23.327895,2191.375349,1443.878996,-1.496715,51.770014
14,3.779131,3.839828,19.769561,20.049492,1925.033958,1863.770791,-1.580724,3.287055
15,3.796631,3.867232,14.812361,13.115899,1483.149001,1537.678380,-1.825623,-3.546215
16,3.931515,3.979658,11.775190,10.162902,1453.644620,1582.480714,-1.209738,-8.141401
17,3.989953,4.056754,9.597999,8.522500,1913.684383,1554.019551,-1.646656,23.144164
18,4.053104,4.126867,8.051999,7.175357,1856.208436,1307.516456,-1.787378,41.964442
19,4.072966,4.161744,6.608077,5.766831,1673.445864,1465.641845,-2.133189,14.178363
20,4.072966,4.195479,6.536531,4.915266,1969.930784,1278.178122,-2.920125,54.120208
21,4.073608,4.204593,5.472214,4.357254,1439.730892,1416.047771,-3.115287,1.672480
22,4.074790,4.206496,5.433857,3.837684,1809.678235,1352.197121,-3.131007,33.832428
