level,ratio_omni,ratio_zstd,comp_omni_mb_s,comp_zstd_mb_s,decomp_omni_mb_s,decomp_zstd_mb_s,ratio_delta_pct_omni_vs_zstd,decomp_delta_pct_omni_vs_zstd
1,1.741448,1.251343,446.873217,861.630688,1567.454459,1321.748353,39.166397,18.589477
2,1.741448,1.268729,374.945314,632.508415,1498.535529,1255.184928,37.259284,19.387629
3,1.741448,1.392597,222.231343,312.980497,1610.280928,1038.346278,25.050460,55.081302
4,1.735881,1.484132,179.415469,235.796372,1547.384039,1019.275475,16.962663,51.812153
5,1.735881,1.525139,136.482048,147.065707,1485.497787,993.845945,13.817887,49.469623
6,1.735881,1.526477,123.086973,140.743963,1478.849392,1010.666084,13.718088,46.324233
7,1.742401,1.559490,119.479307,130.842292,1666.250868,982.473755,11.728836,69.597494
8,1.742401,1.558899,97.538044,106.232979,1662.551934,1006.167736,11.771192,65.236061
9,1.742401,1.580615,91.507770,98.394749,1647.302276,986.110064,10.235604,67.050549
10,1.773289,1.592558,64.034301,78.968941,1784.228940,966.711207,11.348457,84.566904
11,1.773289,1.593990,54.814021,64.040686,1774.889969,980.516852,11.248474,81.015754
12,1.773289,1.595303,45.788330,46.081473,1724.180494,978.444400,11.156903,76.216502
13,1.778341,1.594037,17.261862,18.878993,1863.906379,987.289559,11.562122,88.790245
14,1.778341,1.594389,18.549109,19.173626,1858.566271,984.368458,11.537464,88.807987
15,1.778341,1.595840,18.219439,16.533838,1866.219833,982.832194,11.436021,89.881838
16,1.783037,1.625297,13.728254,13.191075,1956.148458,965.647598,9.705306,102.573740
17,1.783037,1.628567,11.198123,8.214375,1920.110636,910.990760,9.485032,110.771692
18,1.783037,1.649556,9.156333,7.511827,1915.388793,905.783515,8.091970,111.462095
19,1.783037,1.651956,8.989639,6.753611,1937.352262,851.482167,7.934944,127.527051
20,1.789209,1.651955,6.768821,6.619047,2015.985129,860.816170,8.308543,134.194617
21,1.789209,1.651955,6.865312,5.964758,2000.907402,807.735654,8.308543,147.718098
22,1.789209,1.651955,6.824944,6.280029,2034.402789,859.648720,8.308543,136.655129
