n_threads,omni_seq_block_decode,level,dataset,size_mb,ratio_delta_pct_omni_vs_zstd,decomp_delta_pct_omni_vs_zstd,decomp_time_delta_pct_omni_vs_zstd,decomp_mb_s_ratio_omni_over_zstd,ratio_zstd,ratio_omni,comp_zstd_s,comp_omni_s,comp_time_delta_pct_omni_vs_zstd,decomp_zstd_s,decomp_omni_s,decomp_zstd_mb_s,decomp_omni_mb_s,comp_zstd_mb_s,comp_omni_mb_s,comp_delta_pct_omni_vs_zstd,rss_peak_delta_zstd_mb,rss_peak_delta_omni_mb,rss_delta_diff_omni_minus_zstd_mb,status_zstd,status_omni
1,1,1,dickens,9.720274,-0.068938,118.525743,-54.238801,2.185257,2.391619,2.389971,0.017511,0.019954,13.954213,0.006291,0.002879,1545.087542,3376.414034,555.100573,487.125979,-12.245456,24.156250,57.796875,33.640625,OK,OK
1,1,3,dickens,9.720274,-0.597688,174.831272,-63.614039,2.748313,2.782158,2.765529,0.032338,0.030632,-5.273509,0.007722,0.002810,1258.858248,3459.736134,300.585970,317.319860,5.567089,24.359375,55.078125,30.718750,OK,OK
1,1,9,dickens,9.720274,-1.209702,154.251510,-60.668867,2.542515,3.105064,3.067502,0.129897,0.124372,-4.253653,0.006720,0.002643,1446.406497,3677.510363,74.830507,78.154947,4.442626,33.265625,54.406250,21.140625,OK,OK
1,1,12,dickens,9.720274,-1.810384,160.176562,-61.564562,2.601766,3.216509,3.158278,0.278414,0.242943,-12.740314,0.006239,0.002398,1557.923461,4053.351694,34.913048,40.010513,14.600459,63.156250,93.515625,30.359375,OK,OK
1,1,15,dickens,9.720274,-2.795289,141.848185,-58.651747,2.418482,3.333083,3.239914,1.659339,1.159160,-30.143299,0.006048,0.002501,1607.210212,3887.008725,5.857919,8.385622,43.150190,87.031250,117.218750,30.187500,OK,OK
1,1,22,dickens,9.720274,-3.876890,167.720097,-62.647556,2.677201,3.577472,3.438777,2.824077,1.766826,-37.437047,0.006530,0.002439,1488.499527,3985.012370,3.441929,5.501546,59.839003,279.484375,117.031250,-162.453125,OK,OK
1,1,1,mozilla,48.847656,-0.732339,257.015353,-71.990000,3.570154,2.565064,2.546279,0.062023,0.086382,39.274892,0.032671,0.009151,1495.155242,5337.933766,787.574846,565.482290,-28.199549,117.515625,302.109375,184.593750,OK,OK
1,1,3,mozilla,48.847656,-1.612079,277.174097,-73.487045,3.771741,2.810098,2.764797,0.090879,0.110387,21.466200,0.034211,0.009070,1427.843479,5385.455756,537.502623,442.512093,-17.672571,116.515625,292.265625,175.750000,OK,OK
1,1,9,mozilla,48.847656,-2.317344,244.855961,-71.002386,3.448560,3.073474,3.002251,0.403239,0.422470,4.769107,0.032426,0.009403,1506.417421,5194.970271,121.138111,115.623885,-4.552016,124.312500,283.890625,159.578125,OK,OK
1,1,12,mozilla,48.847656,-2.391632,250.706593,-71.486136,3.507066,3.096600,3.022541,0.852593,0.939815,10.230295,0.033906,0.009668,1440.696501,5052.617620,57.293070,51.975793,-9.280838,154.187500,319.062500,164.875000,OK,OK
1,1,15,mozilla,48.847656,-2.472915,265.481248,-72.638815,3.654812,3.110845,3.033917,2.449820,2.348199,-4.148128,0.033739,0.009231,1447.818810,5291.506259,19.939282,20.802183,4.327644,178.093750,295.843750,117.750000,OK,OK
1,1,22,mozilla,48.847656,-2.877858,312.218680,-75.741031,4.122187,3.435816,3.336938,10.877681,7.621287,-29.936472,0.046640,0.011314,1047.342388,4317.340967,4.490631,6.409371,42.727611,735.203125,420.703125,-314.500000,OK,OK
1,1,1,mr,9.508671,5.673999,76.323999,-43.286223,1.763240,2.614607,2.762959,0.013573,0.023230,71.140760,0.005825,0.003303,1632.448417,2878.398335,700.531979,409.330880,-41.568566,23.312500,59.078125,35.765625,OK,OK
1,1,3,mr,9.508671,2.746163,107.279051,-51.755858,2.072791,2.810568,2.887751,0.023621,0.034548,46.258219,0.006770,0.003266,1404.495759,2911.225481,402.548033,275.231051,-31.627774,23.796875,58.781250,34.984375,OK,OK
1,1,9,mr,9.508671,-0.987457,151.279205,-60.203631,2.512792,3.006407,2.976720,0.099807,0.108686,8.896658,0.006568,0.002614,1447.653593,3637.652441,95.270898,87.487440,-8.169817,32.859375,56.171875,23.312500,OK,OK
1,1,12,mr,9.508671,-1.324580,86.613917,-46.413428,1.866139,3.051410,3.010991,0.213511,0.231253,8.309886,0.006207,0.003326,1531.885772,2858.712041,44.534857,41.117999,-7.672325,62.796875,98.796875,36.000000,OK,OK
1,1,15,mr,9.508671,-1.686702,75.880044,-43.143066,1.758800,3.081810,3.029829,1.015742,0.865546,-14.786837,0.006054,0.003442,1570.621150,2762.409164,9.361304,10.985749,17.352761,86.750000,123.734375,36.984375,OK,OK
1,1,22,mr,9.508671,-1.550066,139.372892,-58.224175,2.393729,3.213782,3.163967,2.135871,1.933438,-9.477784,0.006896,0.002881,1378.800993,3300.475817,4.451893,4.918011,10.470120,279.296875,183.703125,-95.593750,OK,OK
1,1,1,nci,31.999059,-0.232661,295.867971,-74.739053,3.958680,11.779016,11.751610,0.022467,0.023715,5.553113,0.011552,0.002918,2769.901631,10965.153390,1424.261390,1349.331483,-5.260966,67.234375,143.734375,76.500000,OK,OK
1,1,3,nci,31.999059,-0.783240,240.844789,-70.661133,3.408448,11.840262,11.747525,0.025277,0.026534,4.969839,0.011613,0.003407,2755.382497,9391.577671,1265.912793,1205.977645,-4.734540,67.937500,143.656250,75.718750,OK,OK
1,1,9,nci,31.999059,-2.068559,210.404605,-67.783983,3.104046,14.934540,14.625610,0.143635,0.133527,-7.037566,0.008908,0.002870,3592.288274,11150.628240,222.780178,239.645379,7.570333,76.671875,150.500000,73.828125,OK,OK
1,1,12,nci,31.999059,-3.345719,170.963693,-63.094687,2.709637,15.948251,15.414667,0.268501,0.250019,-6.883308,0.008154,0.003009,3924.459151,10633.859463,119.176702,127.986401,7.392132,106.546875,148.125000,41.578125,OK,OK
1,1,15,nci,31.999059,-5.374289,112.606736,-52.964802,2.126067,17.140145,16.218984,1.230378,1.039437,-15.518881,0.009224,0.004339,3469.030105,7375.391673,26.007506,30.784992,18.369645,130.359375,202.062500,71.703125,OK,OK
1,1,22,nci,31.999059,-13.450068,259.341501,-72.171319,3.593415,21.241964,18.384905,10.851167,8.274442,-23.746063,0.009863,0.002745,3244.394620,11658.456312,2.948905,3.867216,31.140770,437.796875,200.375000,-237.421875,OK,OK
