n_threads,level,dataset,size_mb,ratio_zstd,ratio_omni,ratio_delta_pct_omni_vs_zstd,comp_zstd_s,comp_omni_s,comp_time_delta_pct_omni_vs_zstd,decomp_zstd_s,decomp_omni_s,decomp_time_delta_pct_omni_vs_zstd,decomp_zstd_mb_s,decomp_omni_mb_s,decomp_delta_pct_omni_vs_zstd,comp_zstd_mb_s,comp_omni_mb_s,comp_delta_pct_omni_vs_zstd,rss_peak_delta_zstd_mb,rss_peak_delta_omni_mb,rss_delta_diff_omni_minus_zstd_mb,status_zstd,status_omni
8,1,dickens,9.720274,2.391061,2.389971,-0.045584,0.005552,0.019403,249.456673,0.007145,0.005940,-16.856195,1360.477833,1636.294888,20.273543,1750.690988,500.975121,-71.384149,39.484375,47.765625,8.281250,OK,OK
8,3,dickens,9.720274,2.781037,2.765529,-0.557640,0.027590,0.030698,11.268475,0.008055,0.006243,-22.491938,1206.694326,1556.862977,29.018836,352.317873,316.637639,-10.127285,41.062500,45.890625,4.828125,OK,OK
8,9,dickens,9.720274,3.105064,3.067502,-1.209702,0.128109,0.123622,-3.502394,0.006621,0.005523,-16.588941,1468.014423,1759.975764,19.888179,75.875152,78.629051,3.629514,46.312500,45.984375,-0.328125,OK,OK
8,12,dickens,9.720274,3.216509,3.158278,-1.810384,0.256761,0.234830,-8.541440,0.006144,0.005384,-12.372953,1581.957656,1805.330326,14.120016,37.857290,41.392834,9.339137,76.093750,85.109375,9.015625,OK,OK
8,15,dickens,9.720274,3.333083,3.239914,-2.795289,1.405674,1.002658,-28.670666,0.006039,0.005110,-15.377451,1609.616680,1902.113209,18.171813,6.915030,9.694510,40.194777,99.859375,94.640625,-5.218750,OK,OK
8,22,dickens,9.720274,3.577472,3.438777,-3.876890,2.376032,1.718492,-27.673857,0.006493,0.005556,-14.426815,1497.144555,1749.548710,16.859037,4.090969,5.656280,38.262593,292.109375,109.000000,-183.109375,OK,OK
8,1,mozilla,48.847656,2.563137,2.546279,-0.657721,0.014473,0.032485,124.454941,0.034630,0.030342,-12.382827,1410.547049,1609.897920,14.132876,3375.117680,1503.694982,-55.447628,153.015625,267.703125,114.687500,OK,OK
8,3,mozilla,48.847656,2.801798,2.764797,-1.320639,0.024933,0.035539,42.538956,0.036045,0.030588,-15.137538,1355.204157,1596.941842,17.837732,1959.146967,1374.464235,-29.843740,193.875000,263.921875,70.046875,OK,OK
8,9,mozilla,48.847656,3.060505,3.002251,-1.903410,0.168749,0.134966,-20.019803,0.031682,0.028606,-9.709549,1541.817088,1707.619203,10.753683,289.469378,361.926313,25.030950,226.625000,308.093750,81.468750,OK,OK
8,12,mozilla,48.847656,3.083048,3.022541,-1.962568,0.354377,0.276349,-22.018402,0.039027,0.026960,-30.917526,1251.652209,1811.823084,44.754515,137.840836,176.760722,28.235382,346.359375,475.531250,129.171875,OK,OK
